image_id	width	height	X	Y	Z	omega	phi	kappa	fx	fy	cx	cy
43175_F022_01245.tif	14204	10652	93114.858	437379.261	212.108	37.37	27.5	148.21	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F022_01248.tif	14204	10652	93197.488	437282.944	210.701	37.38	27.55	148.78	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F022_01243.tif	14204	10652	93059.658	437443.562	213.337	37.62	27.24	148.9	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F022_01247.tif	14204	10652	93169.665	437314.711	210.973	37.17	27.52	148.37	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F024_01718.tif	14204	10652	93494.723	436917.611	200.638	-35.34	-30.33	-35.54	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F022_01246.tif	14204	10652	93142.161	437346.875	211.45	37.44	27.36	148.54	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F024_01723.tif	14204	10652	93352.631	437073.957	202.862	-36.7	-28.47	-32.79	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F024_01721.tif	14204	10652	93411.841	437015.032	199.631	-35.49	-30.09	-34.69	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F024_01724.tif	14204	10652	93322.832	437101.991	205.003	-35.67	-29.45	-34.43	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F024_01720.tif	14204	10652	93440.279	436983.601	199.074	-35.63	-29.44	-35.29	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F024_01719.tif	14204	10652	93467.455	436950.851	199.384	-35.08	-30.2	-36.06	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F022_01244.tif	14204	10652	93087.483	437411.521	212.702	37.15	27.4	148.5	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F024_01722.tif	14204	10652	93382.338	437045.035	200.948	-36.49	-28.66	-32.95	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F022_01242.tif	14204	10652	93031.215	437475.231	213.961	37.59	27.21	149.09	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_B024_01730.tif	14204	10652	93144.905	437271.494	207.942	36.99	27.05	148.54	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B024_01731.tif	14204	10652	93116.152	437301.153	207.478	36.86	27.1	148.65	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B024_01732.tif	14204	10652	93087.662	437330.841	206.942	36.89	27.14	148.3	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B024_01728.tif	14204	10652	93203.224	437213.15	208.782	36.72	27.37	148.03	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B024_01729.tif	14204	10652	93173.912	437242.095	208.511	36.99	27.04	148.55	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B024_01733.tif	14204	10652	93059.317	437360.336	206.689	37.08	26.98	148.61	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B024_01734.tif	14204	10652	93031.11	437389.642	206.878	37.22	26.86	148.43	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B024_01735.tif	14204	10652	93003.444	437419.2	207.26	36.94	27.0	148.55	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B022_01255.tif	14204	10652	93396.559	437060.642	206.918	-35.98	-28.24	-33.78	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B022_01254.tif	14204	10652	93367.508	437093.208	207.938	-34.97	-29.49	-35.26	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B022_01259.tif	14204	10652	93513.389	436929.759	204.923	-35.2	-29.43	-35.28	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B022_01253.tif	14204	10652	93338.899	437125.387	208.617	-36.38	-28.46	-33.23	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B022_01256.tif	14204	10652	93425.708	437027.914	206.092	-35.97	-28.54	-33.66	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B022_01257.tif	14204	10652	93454.685	436994.983	205.574	-34.9	-29.8	-35.68	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B022_01258.tif	14204	10652	93483.986	436962.206	205.107	-35.15	-29.4	-35.38	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_F022_01249.tif	14204	10652	93225.324	437251.392	210.684	37.13	27.51	148.36	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F024_01717.tif	14204	10652	93522.261	436884.331	202.076	-35.41	-30.08	-35.42	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_F022_01250.tif	14204	10652	93253.279	437220.109	210.443	36.84	28.27	147.33	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_B022_01260.tif	14204	10652	93542.475	436897.454	204.954	-35.0	-29.69	-35.74	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_F024_01716.tif	14204	10652	93549.873	436851.066	203.484	-35.38	-30.14	-35.44	28831.117021276597	28831.117021276597	7102.0	5326.0
43175_B024_01726.tif	14204	10652	93262.635	437156.839	207.616	36.56	27.65	147.48	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B022_01261.tif	14204	10652	93571.25	436865.34	204.881	-34.93	-29.84	-35.34	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_B024_01727.tif	14204	10652	93232.84	437184.732	208.415	36.32	28.0	147.32	28836.941489361703	28836.941489361703	7102.0	5326.0
43175_F022_01251.tif	14204	10652	93281.557	437188.763	209.853	36.79	28.28	147.53	28831.117021276597	28831.117021276597	7102.0	5326.0
